ない	601
てい	568
って	482
こと	336
よう	323
かん	318
う。	307
おも	286
ょう	271
かな	267
して	256
いる	255
る。	237
とお	230
った	226
たい	225
いか	213
いと	211
もう	201
い。	199
いな	195
なん	191
とい	191
いい	186
んが	182
うに	181
んだ	180
から	179
こう	176
にな	174
いう	174
んじ	171
けど	170
いの	168
なか	167
な。	165
るの	164
かい	162
そう	157
てき	155
かく	155
ぶん	154
ど、	153
いて	153
ので	152
んと	151
とか	151
する	149
ある	149
もっ	144
なっ	143
ると	140
でき	140
くな	137
はな	137
のか	136
うか	135
うな	135
だけ	134
それ	132
がえ	132
らな	130
いこ	130
なる	122
だ。	121
かっ	120
ろう	116
。こ	115
きた	114
やっ	113
で、	113
らい	108
。い	107
ころ	106
しょ	105
じぶ	104
なぁ	103
とは	102
いけ	102
にか	101
いし	101
とこ	100
。そ	99
でも	99
いま	99
うの	98
があ	97
とに	97
だい	97
だろ	96
てみ	95
なに	95
っと	95
。な	94
た。	94
ぜん	93
すこ	93
きに	93
うし	92
こし	91
のだ	91
もし	90
うが	89
るこ	88
れば	88
るよ	88
にし	87
げん	87
ゅう	86
たの	86
いっ	85
いた	85
ね。	84
んな	84
かも	84
うと	84
れな	83
じょ	83
てし	83
んの	82
えて	82
これ	81
んか	81
つか	81
しま	81
かし	80
では	80
をか	79
んに	79
とが	79
まで	79
ても	78
どう	78
んし	77
がす	76
、そ	76
ぁ。	75
きが	75
なく	75
るか	75
なの	75
もい	75
した	73
のは	73
んで	73
じつ	73
はい	72
っぱ	72
。あ	70
がい	70
きる	70
なら	69
れて	68
しき	68
まだ	68
いき	68
ゆび	66
はや	66
くら	66
あた	65
なり	65
には	65
にい	63
にも	63
にん	63
きょ	63
うだ	63
たま	62
いく	62
える	62
。じ	62
。ま	61
ーど	61
いよ	61
とも	61
かと	61
わか	60
。や	59
しゅ	59
つな	57
ほう	57
おお	57
いじ	57
たし	56
しな	55
きて	55
っか	55
うこ	55
りそ	55
。も	54
んを	54
しれ	54
でい	54
かけ	53
だな	53
。か	53
て、	53
れは	53
んぐ	52
なき	52
れる	52
りょ	52
し、	52
せい	51
はあ	51
とし	51
とな	51
か。	50
んは	50
さん	50
まっ	50
はお	50
とを	50
しい	50
いち	49
いに	49
まう	49
ばい	48
ちが	48
うは	48
てか	48
よく	48
られ	48
もな	48
たら	48
しか	47
とう	47
のな	47
がな	47
うい	47
のが	47
さい	46
てく	46
くて	46
きな	46
しん	46
かえ	45
よね	45
うす	45
ほん	45
だと	45
もの	45
んぜ	44
、こ	44
はか	44
まの	44
くる	44
もか	43
たな	43
やく	43
はじ	43
くこ	43
いが	43
。。	43
すぴ	43
ぴー	43
いん	43
かわ	42
なと	42
その	42
りた	42
ける	42
。お	41
ぎな	41
なた	41
きは	41
のし	41
くに	41
。げ	41
けな	40
、な	40
もん	40
うを	40
まい	40
くか	40
なれ	39
たか	39
なぎ	39
しよ	39
っこ	39
るだ	39
いだ	39
この	39
まま	39
のも	39
あま	39
だよ	38
いろ	38
のに	38
くは	38
ぱり	38
うで	38
