ている	238
ってい	207
とおも	200
おもう	148
かんが	142
けど、	138
んがえ	128
という	126
してい	123
もう。	117
ない。	108
なって	107
ないと	106
じぶん	104
ように	100
ので、	99
だろう	95
ところ	90
ること	87
すこし	84
ないか	83
かな。	83
なんと	82
るよう	82
ていな	80
んとか	80
いない	77
かった	77
てしま	77
なぁ。	75
もって	74
おもっ	74
ないの	73
になっ	73
ことが	73
てきた	71
らない	70
やって	68
かんじ	68
しょう	68
れない	68
できる	68
いこう	67
んじつ	67
げんじ	66
ような	65
よう。	61
がある	61
なかっ	59
こう。	58
うにな	58
する。	57
はない	57
じょう	57
いる。	56
。それ	56
きょう	56
とかな	56
あたま	55
かもし	55
しれな	54
かいて	53
いこと	53
もしれ	52
ないよ	52
いけど	52
いとい	52
がえて	52
りそう	52
がする	51
ことに	51
くなっ	51
ならな	51
いるの	50
いとお	49
いよう	49
なんだ	48
るので	48
くらい	48
。いま	48
かなる	48
ていた	47
ってし	47
しまう	47
いかな	46
だけど	46
もっと	46
いなぁ	45
ていこ	45
ってき	45
、それ	45
うなき	45
きがす	45
んぜん	44
うこと	44
のかも	43
ではな	43
なる。	43
からな	42
よね。	42
すぴー	42
ぴーど	42
ある。	41
はやく	41
いてい	41
ったの	41
ろう。	40
れてい	40
ないけ	40
しゅう	40
。げん	40
いいか	39
いると	39
なぎな	39
ぎなた	39
なたし	39
たしき	39
かない	39
るとい	39
るとお	38
ぶんの	38
くこと	38
しよう	38
かって	38
っぱり	38
った。	38
だいじ	38
りたい	38
ことを	38
いうこ	38
ことは	38
らなん	38
きてい	37
うして	36
になる	36
やっぱ	36
てくる	36
しない	36
ばいい	35
。これ	35
いとこ	35
りょう	35
てみる	34
いので	34
ほうが	34
つなら	34
。じぶ	34
ろうか	33
いのだ	33
たい。	33
。やっ	33
いかと	33
えてい	33
そうだ	33
じつな	33
わから	32
ぜんぜ	32
たいと	32
だな。	32
なくな	32
ど、そ	32
にかく	32
くない	31
のなか	31
じゃな	31
てきに	31
みよう	30
がない	30
なった	30
しふと	30
ういう	30
あまり	30
るのだ	30
とにか	30
ってみ	29
だよね	29
ていく	29
っこう	29
